survey,round,new_gold,new_nodes,cumulative_recall,cumulative_nodes
S1_MIT,1,575,192157,0.9879725085910653,192157
S1_MIT,2,0,21335,0.9879725085910653,213492
S1_MIT,3,0,8517,0.9879725085910653,222009
S1_MIT,4,0,6443,0.9879725085910653,228452
S1_MIT,5,1,3306,0.9896907216494846,231758
S1_MIT,6,1,1634,0.9914089347079038,233392
S1_MIT,7,0,5475,0.9914089347079038,238867
S1_MIT,8,0,3383,0.9914089347079038,242250
S1_MIT,9,0,3143,0.9914089347079038,245393
S1_MIT,10,0,1843,0.9914089347079038,247236
S2_UCG,1,431,179506,0.9976851851851852,179506
S2_UCG,2,1,36835,1.0,216341
S3_TOPO,1,376,137741,0.9715762273901809,137741
S3_TOPO,2,3,18261,0.979328165374677,156002
S3_TOPO,3,3,12213,0.9870801033591732,168215
S3_TOPO,4,0,7757,0.9870801033591732,175972
S3_TOPO,5,0,3353,0.9870801033591732,179325
S3_TOPO,6,1,2924,0.9896640826873385,182249
S3_TOPO,7,1,4460,0.9922480620155039,186709
S3_TOPO,8,0,2047,0.9922480620155039,188756
S3_TOPO,9,0,3202,0.9922480620155039,191958
S3_TOPO,10,0,1904,0.9922480620155039,193862
